100 4860
90 52 27
27 67 15
68 98 7
66 3 21
20 10 26
18 1 14
35 91 12
12 92 14
80 84 5
0 34 3
5 45 5
16 70 2
34 72 7
99 30 10
12 22 15
28 64 8
64 29 8
53 76 9
98 72 30
73 88 12
75 55 30
39 94 28
98 51 20
69 95 21
46 36 24
62 28 6
63 53 7
63 49 24
85 44 14
23 80 7
85 78 23
15 86 5
85 41 11
62 86 5
64 79 17
96 95 2
26 99 10
50 15 19
24 45 7
94 5 13
41 52 22
54 7 14
17 93 10
76 26 24
41 2 5
67 1 6
88 70 27
28 68 18
80 21 3
87 94 2
32 24 18
58 69 5
91 13 22
99 59 7
17 91 28
24 34 15
0 51 25
69 27 8
32 53 16
32 51 25
42 43 2
19 36 22
95 70 7
95 73 1
79 1 16
65 64 10
85 59 14
21 30 20
66 64 22
10 37 2
27 1 3
12 60 2
80 70 2
98 9 29
19 92 18
62 12 26
78 43 2
94 6 9
9 30 22
39 18 30
51 31 1
76 42 26
26 14 30
43 76 3
9 69 4
69 5 16
0 88 19
54 84 25
25 81 29
25 35 10
50 25 18
1 24 10
94 71 20
95 25 6
81 7 5
15 80 30
81 91 30
63 26 6
3 15 18
23 14 3
6 78 9
27 2 29
63 68 4
31 50 4
92 81 15
63 20 13
87 50 29
93 80 8
32 2 7
87 2 20
67 42 10
18 67 22
99 1 14
7 75 15
22 95 27
60 81 4
62 51 19
42 58 24
45 0 30
57 14 30
46 84 27
27 35 30
90 76 18
85 86 3
22 81 3
96 30 18
65 67 9
16 97 3
60 42 22
84 71 14
12 81 11
78 54 27
59 45 15
90 82 7
40 99 17
60 47 11
77 44 13
37 87 26
81 86 4
47 44 14
95 56 27
29 5 30
29 73 2
8 25 8
97 64 26
76 9 9
47 98 8
94 93 4
30 40 13
56 74 30
20 69 23
45 51 25
91 47 12
43 59 4
7 92 27
24 37 29
58 77 24
38 11 14
96 90 17
16 38 30
13 74 26
58 76 6
3 35 8
1 11 15
59 5 21
8 47 7
79 0 9
4 16 26
21 56 26
48 34 24
41 32 19
17 69 16
6 26 29
26 65 8
72 87 8
52 14 27
82 84 8
24 64 20
90 74 1
72 59 16
24 85 24
92 30 22
53 80 13
9 38 1
0 67 16
90 42 16
3 38 19
56 54 29
49 14 2
93 42 11
73 77 20
64 30 5
66 30 2
63 72 6
18 34 27
30 57 23
67 58 19
8 64 28
37 83 4
67 39 22
28 38 12
88 56 7
18 65 21
40 68 27
75 41 7
7 30 10
81 58 8
92 57 2
32 13 30
80 40 23
75 92 17
95 78 3
88 36 20
20 44 10
12 77 30
89 21 18
70 62 28
1 42 18
55 95 16
92 90 11
87 20 5
75 57 24
1 3 12
63 7 9
16 71 8
81 69 2
89 41 10
37 46 27
49 28 21
50 83 24
66 54 24
79 54 5
87 52 2
90 62 13
34 67 29
49 20 19
25 67 7
12 56 28
31 24 2
9 6 26
30 76 5
75 82 26
69 50 6
48 52 4
72 66 25
31 79 13
46 31 12
71 55 5
74 63 20
93 27 28
41 43 19
74 95 19
32 4 30
32 86 18
56 50 22
59 28 14
77 94 28
6 69 26
2 95 26
25 13 14
40 76 17
92 93 30
86 57 30
28 80 14
83 36 22
44 84 14
84 97 17
52 19 11
36 54 9
68 95 2
64 32 7
37 25 3
24 90 2
14 88 19
11 6 24
59 26 30
73 91 12
39 28 9
89 51 27
41 47 4
63 55 1
39 47 16
46 60 7
29 15 5
32 73 29
49 31 9
72 93 21
28 17 15
10 33 19
83 81 24
18 87 3
4 80 9
10 66 20
51 73 13
65 45 11
99 23 10
92 83 13
63 70 8
62 58 5
72 60 4
78 69 19
23 4 23
54 3 8
61 46 22
19 41 10
8 57 26
25 92 18
71 6 9
69 54 11
96 10 3
19 16 12
31 14 6
99 4 1
10 45 25
36 2 25
97 38 1
88 43 5
85 43 15
4 65 16
48 15 10
3 65 17
11 88 28
61 89 28
72 57 20
80 78 8
29 91 28
38 45 8
52 34 6
38 46 9
47 34 20
13 6 23
4 40 15
26 35 17
14 86 1
14 60 10
71 64 25
20 48 18
69 31 27
12 16 24
86 42 27
94 9 17
50 88 17
63 21 18
20 14 25
64 48 26
5 46 7
96 76 9
64 86 2
0 97 2
64 45 19
25 33 27
13 54 14
24 67 21
8 48 12
85 38 2
99 55 19
92 22 3
28 87 17
43 80 17
26 88 25
29 49 28
82 77 7
98 90 15
60 88 8
70 23 30
75 49 10
71 50 22
89 91 3
97 23 13
53 13 15
21 90 27
35 60 7
1 7 15
24 30 14
99 80 15
55 23 19
22 45 20
30 90 26
76 11 27
46 51 22
21 26 18
41 42 3
87 31 20
17 13 2
82 51 25
75 83 23
89 57 2
44 66 9
20 24 1
53 72 8
38 59 29
21 13 21
84 2 7
70 65 4
89 95 19
28 55 12
64 52 26
3 23 27
10 39 29
65 22 17
58 14 7
75 97 10
86 74 25
22 27 5
29 18 14
34 75 3
46 87 16
20 73 24
34 81 11
36 22 7
92 97 26
28 26 26
47 53 3
32 12 22
80 10 2
98 30 5
58 72 22
75 9 24
81 51 13
63 37 28
95 49 12
76 23 3
99 84 28
8 89 23
63 96 8
89 67 26
87 95 2
70 44 6
93 95 26
10 24 6
41 5 1
35 23 16
25 90 11
89 22 17
74 66 3
19 61 20
47 31 11
24 9 22
81 9 8
69 8 25
61 50 27
11 91 12
93 82 24
23 16 20
5 53 30
28 16 6
3 97 16
11 60 13
74 29 28
2 96 7
88 29 7
60 78 13
14 27 11
91 2 7
74 19 26
66 87 24
25 84 23
39 11 25
63 62 28
17 80 8
50 8 10
36 25 27
7 31 23
78 49 1
44 3 2
69 40 16
88 59 21
94 48 11
97 88 7
7 43 25
2 45 28
27 12 12
36 42 22
82 41 3
72 43 16
39 58 12
28 81 14
75 27 13
15 89 4
58 70 27
7 90 11
51 88 11
62 27 10
37 48 23
13 46 20
92 54 3
60 17 12
23 78 8
66 48 15
25 4 16
73 21 6
48 17 10
71 95 9
28 10 25
28 96 5
58 94 28
48 30 23
99 22 21
78 93 28
26 73 1
26 37 6
14 90 12
62 41 15
94 46 6
29 46 28
91 43 23
0 8 14
45 62 30
82 59 25
40 74 25
93 88 18
11 52 24
23 50 25
75 11 8
20 25 30
51 77 6
1 92 17
73 82 10
52 96 18
81 63 21
13 40 6
59 75 5
26 79 20
66 47 14
70 72 2
9 91 27
91 66 19
6 98 3
62 73 7
54 42 1
43 40 22
48 46 23
50 13 22
5 47 27
37 19 25
38 1 25
16 75 2
0 18 8
33 64 9
76 82 9
11 81 13
83 97 8
34 21 29
31 1 29
24 43 17
37 15 6
37 6 14
52 92 18
52 89 9
67 74 20
78 47 24
6 15 11
75 39 13
66 31 10
72 54 20
29 58 12
31 23 19
35 12 27
75 33 18
4 93 18
95 57 13
81 3 1
68 23 16
34 9 30
41 53 5
38 33 17
69 88 4
4 91 19
38 0 10
81 1 11
34 55 11
67 13 3
24 78 17
65 82 18
25 73 21
89 96 20
8 61 22
97 81 7
26 0 4
89 33 20
25 88 21
68 93 18
53 78 10
32 50 30
27 39 1
16 65 13
5 99 3
34 44 9
3 37 26
52 43 14
42 24 27
31 28 22
42 79 3
45 16 28
46 52 13
54 86 7
20 22 11
57 27 28
25 49 1
61 2 22
90 59 5
92 13 13
30 14 1
96 67 27
10 92 26
2 82 7
85 53 8
78 57 20
69 52 16
89 76 2
46 35 6
54 65 10
7 72 5
14 51 26
54 87 14
1 61 28
62 67 22
99 33 25
87 61 4
35 43 8
24 66 21
17 24 7
77 37 30
51 69 1
10 88 20
46 71 18
73 19 5
53 95 21
29 93 15
39 33 13
19 46 20
14 39 5
39 20 18
65 7 5
9 97 2
17 62 28
23 6 15
99 68 29
97 5 7
88 89 18
8 18 14
68 92 15
65 13 15
97 93 16
3 79 10
24 68 27
55 89 1
5 85 20
61 27 1
85 62 18
26 15 28
90 1 16
22 49 1
7 17 26
58 27 17
79 32 12
69 46 1
63 69 11
30 38 2
80 45 18
22 47 3
45 48 3
11 97 2
80 72 20
38 92 14
73 48 21
83 78 19
41 49 4
4 81 4
18 2 16
73 76 22
41 86 30
74 91 30
1 98 26
18 50 16
31 22 18
98 26 23
63 78 10
14 56 21
97 79 8
95 5 22
96 3 5
69 76 25
69 72 2
66 51 1
35 14 18
90 84 4
76 67 3
23 82 9
78 97 21
48 69 22
33 74 28
50 22 13
15 51 3
44 42 29
58 8 2
15 12 12
75 87 11
77 62 28
75 91 24
39 42 16
59 36 30
45 12 10
91 92 23
62 18 5
95 47 15
67 93 16
56 25 3
87 23 27
30 15 19
51 38 25
62 52 25
42 46 16
65 36 15
17 97 5
22 38 29
97 44 30
29 16 28
58 17 24
64 34 2
12 91 1
11 3 14
65 9 13
77 49 18
43 81 15
14 9 27
38 21 8
7 85 3
63 34 30
12 44 14
3 64 1
34 73 20
96 22 12
92 88 10
33 28 17
60 59 13
25 28 12
22 52 3
10 84 7
66 50 12
24 33 23
52 56 25
66 4 17
66 43 13
38 77 18
29 2 14
68 32 11
48 80 6
24 7 17
99 95 24
77 64 18
59 40 15
7 21 12
32 80 20
36 76 13
1 45 16
81 80 6
22 17 23
79 50 27
97 40 13
18 44 29
43 62 6
7 18 2
3 20 11
7 98 22
84 40 10
49 98 16
72 19 22
41 33 20
89 20 6
48 31 21
51 92 28
81 93 1
81 65 15
0 27 25
96 27 28
31 30 5
12 65 21
5 98 1
45 93 23
51 79 11
87 43 6
16 10 20
60 37 4
17 47 7
89 45 1
50 41 10
54 1 12
82 28 3
3 76 19
83 68 1
95 75 22
26 83 1
27 60 6
22 91 30
19 96 24
67 2 28
42 63 17
77 15 4
38 53 10
74 28 1
36 4 21
66 8 26
21 46 11
22 8 5
11 62 21
72 30 9
13 66 5
58 30 6
70 13 28
35 59 25
93 41 1
50 64 1
15 91 6
14 66 25
39 72 25
77 5 22
32 96 24
96 73 30
66 40 14
16 36 23
78 9 30
10 70 23
55 14 13
89 4 20
78 28 30
87 68 3
42 32 10
4 2 2
57 21 3
3 59 2
80 8 2
63 97 17
15 14 1
50 37 28
13 64 25
71 5 7
23 79 1
27 46 20
28 9 19
51 75 14
54 88 18
56 36 28
59 48 6
5 11 29
25 62 30
39 7 26
81 61 13
7 23 8
75 78 21
18 31 30
95 33 24
43 15 16
63 54 22
33 12 24
18 19 18
13 5 3
33 36 4
0 43 28
45 34 15
94 22 29
35 76 20
48 9 20
19 9 24
12 64 28
1 48 28
92 69 18
81 40 14
65 78 15
35 21 3
70 14 8
72 99 27
91 77 5
71 53 12
55 1 16
66 70 25
1 21 3
65 96 16
11 48 19
46 1 14
14 6 27
76 28 22
19 98 28
97 34 2
76 1 16
76 22 18
6 88 20
72 52 26
42 48 5
52 54 13
41 99 7
37 58 24
28 7 6
54 27 17
21 75 29
42 37 28
46 44 10
41 45 18
74 99 10
2 6 7
51 37 9
79 74 17
90 3 16
18 54 15
73 13 22
82 15 25
19 14 19
32 52 20
72 85 10
13 63 9
87 6 25
2 46 27
16 80 30
57 62 5
10 21 7
37 96 3
5 12 13
41 95 17
24 4 22
81 20 29
54 24 26
84 73 24
32 57 23
26 23 23
12 53 17
33 46 12
6 93 28
98 16 27
93 77 17
88 66 6
14 89 20
2 63 25
81 98 9
4 60 1
19 86 7
26 52 28
22 40 5
90 4 25
5 8 6
79 52 23
91 42 28
56 27 10
49 56 28
89 92 9
67 88 5
86 33 19
56 18 19
68 7 21
91 60 25
5 56 12
66 81 6
98 21 15
93 99 25
3 45 27
34 87 16
15 66 9
28 45 9
75 22 16
90 89 25
57 2 7
95 91 25
27 36 26
40 47 13
90 27 18
79 96 23
78 91 19
5 80 14
66 42 28
57 69 7
50 47 24
72 26 1
29 68 15
58 52 2
31 89 26
67 92 25
58 10 13
51 65 14
98 29 1
70 90 25
37 5 9
76 61 1
91 31 19
19 50 21
33 67 8
49 90 30
9 10 27
28 13 9
99 13 28
56 39 23
3 7 6
73 12 22
69 62 9
67 61 15
59 97 28
88 55 10
17 23 30
34 49 7
39 49 18
94 81 15
36 24 11
79 47 22
80 63 2
29 89 11
31 56 28
64 92 27
8 65 3
29 32 10
46 64 3
77 70 9
72 25 26
14 54 28
23 52 2
96 53 28
47 2 30
70 97 16
6 43 3
59 92 25
56 19 28
62 32 16
80 65 18
77 22 23
30 45 27
21 39 23
16 34 12
60 82 28
72 45 23
96 34 11
64 80 10
27 11 21
97 12 1
58 43 21
40 60 30
56 64 13
56 53 7
85 90 30
34 99 3
86 91 17
26 47 2
10 89 19
5 7 2
44 35 8
72 55 21
30 63 14
33 29 25
36 60 10
31 35 10
6 44 25
73 49 28
33 71 1
63 14 29
83 90 12
19 89 5
72 91 4
69 42 19
78 48 22
79 68 6
13 82 28
47 33 18
96 11 6
2 70 9
2 55 26
82 45 16
3 73 11
79 27 15
91 39 10
81 68 26
94 57 14
13 49 26
77 55 11
67 83 24
38 4 14
80 92 20
57 90 23
73 79 1
45 31 9
91 76 2
68 12 1
76 68 26
19 44 27
81 17 21
19 71 3
38 15 22
26 68 12
95 28 24
1 33 3
98 37 3
89 40 10
7 35 25
58 46 28
56 59 4
51 90 11
26 74 18
23 83 21
65 91 18
32 97 6
78 37 15
26 90 16
75 81 4
92 66 3
89 81 29
54 93 14
50 40 12
82 97 15
53 49 17
3 36 20
31 96 8
63 15 1
71 13 9
24 2 7
28 37 28
48 71 14
22 15 9
40 19 12
6 29 28
66 6 27
40 53 16
92 58 14
90 60 11
64 95 6
79 25 25
39 44 10
26 93 7
44 67 1
43 48 17
11 61 22
54 51 5
4 52 30
34 2 12
59 68 30
18 71 24
24 23 28
16 67 15
22 21 24
18 85 4
85 21 19
39 41 10
16 66 1
16 42 28
66 80 11
78 86 28
36 86 4
97 95 4
30 23 20
91 33 8
13 78 3
30 82 7
28 57 9
28 99 2
53 23 1
70 6 8
14 22 16
88 77 2
44 75 16
74 61 28
84 26 16
45 94 15
77 39 19
36 93 8
98 58 21
46 92 19
50 65 2
79 21 4
70 21 24
11 89 2
76 72 10
14 84 27
1 2 8
82 43 8
38 99 12
4 84 29
83 88 24
65 40 6
86 96 26
13 86 18
37 62 17
78 71 16
51 33 11
88 81 25
25 1 1
9 67 3
90 32 17
59 22 21
28 12 15
50 0 26
87 96 17
82 25 2
20 57 1
0 76 27
2 76 22
55 42 29
25 3 4
96 49 10
91 99 3
53 73 3
39 37 8
89 73 24
73 35 17
48 85 4
27 4 7
38 41 20
60 15 30
3 80 8
71 56 21
89 39 30
45 88 19
99 3 11
59 16 25
60 57 15
89 2 3
90 72 11
32 85 9
99 6 25
70 24 17
97 68 1
37 0 6
35 51 24
98 65 8
92 53 4
75 96 3
24 83 24
27 44 25
37 44 3
47 24 23
0 54 9
6 17 18
85 13 12
50 76 6
81 27 8
34 33 16
60 86 14
88 13 28
88 22 5
11 4 26
45 50 8
5 36 13
35 30 15
15 62 27
50 30 3
3 33 25
41 80 13
83 72 10
13 38 12
56 44 26
33 15 25
98 53 6
11 36 25
55 24 30
93 69 8
25 46 5
72 32 10
69 82 21
98 12 29
54 8 3
43 98 13
96 88 7
93 20 16
13 48 22
63 75 27
36 90 6
57 47 1
20 74 27
0 74 29
9 73 29
82 99 17
70 11 26
35 38 6
40 27 1
96 70 2
1 58 14
60 26 17
23 69 23
40 31 11
77 26 2
34 12 26
69 85 7
34 90 27
70 25 10
58 64 11
18 96 3
7 84 11
0 69 6
57 22 19
8 23 4
38 2 4
57 98 5
36 39 5
83 74 17
40 83 29
48 95 18
95 13 24
17 26 18
89 0 24
31 75 22
37 80 17
69 2 4
81 74 19
95 8 7
64 63 10
63 79 18
27 94 11
9 5 5
98 44 20
55 21 11
42 9 6
7 0 17
10 18 3
3 55 6
18 9 7
53 46 15
47 52 21
56 2 10
75 40 22
23 34 9
88 90 7
58 24 9
37 53 20
47 7 22
62 82 4
36 13 22
6 8 21
54 77 18
90 80 28
26 18 2
27 74 7
16 49 20
32 56 28
38 81 20
85 63 2
43 32 14
60 16 16
72 0 3
45 29 19
8 85 6
62 16 6
28 77 19
1 78 13
84 19 16
71 76 6
1 80 11
31 81 9
83 95 30
51 7 23
22 35 20
25 96 4
73 94 28
81 87 22
16 93 10
98 55 18
97 72 20
14 38 16
13 18 30
83 28 28
41 12 15
98 38 25
82 18 26
87 86 12
43 11 25
95 58 25
0 78 24
63 56 25
77 46 23
3 56 17
86 90 22
41 25 16
21 66 3
33 22 30
60 41 17
68 48 19
65 87 11
66 28 17
86 45 5
26 11 12
44 40 28
12 83 7
44 25 19
1 6 21
37 36 7
32 60 15
58 41 2
47 25 9
32 21 1
29 87 23
62 56 12
53 55 29
81 19 9
62 64 3
12 90 20
3 17 7
30 33 13
54 81 24
59 0 4
11 85 19
15 70 14
40 15 3
64 81 25
35 85 15
20 86 1
66 41 22
93 50 13
56 10 19
65 88 2
40 18 4
7 38 18
50 11 6
88 79 19
48 24 10
5 35 14
36 81 20
8 21 1
16 37 19
97 22 8
92 3 7
6 3 4
70 48 12
72 10 29
21 84 28
61 21 14
71 68 27
4 19 6
29 63 8
33 43 28
53 70 5
38 95 6
87 25 29
63 90 19
15 94 21
0 9 5
44 38 11
75 42 29
79 19 28
38 5 10
23 44 15
39 46 15
0 36 22
0 6 11
49 37 2
27 13 11
45 57 4
87 32 10
24 96 17
91 56 17
61 47 2
45 46 20
87 35 4
63 31 12
77 53 18
32 28 14
49 66 18
86 49 13
81 33 16
98 45 27
87 53 23
92 0 28
44 80 10
12 95 14
60 5 3
32 37 6
21 77 18
41 23 18
88 19 20
36 98 11
39 57 13
80 34 1
10 15 12
39 2 3
10 6 5
49 6 7
54 9 11
15 83 23
2 11 14
55 65 8
68 84 17
87 9 27
73 17 12
26 19 14
46 17 18
87 40 6
24 52 10
65 39 28
72 86 1
83 61 19
1 22 5
62 34 21
69 44 8
21 60 3
7 59 10
17 53 27
87 17 30
21 62 9
76 33 2
92 86 4
73 93 5
36 95 10
87 13 26
21 19 28
1 60 28
97 20 7
14 28 19
85 27 16
95 88 30
10 1 14
93 76 23
82 88 17
55 33 17
82 80 3
12 36 10
60 92 26
57 6 23
19 0 25
53 8 6
31 98 22
65 21 26
64 10 5
1 91 28
49 76 12
67 97 7
42 10 26
20 76 24
14 5 13
55 12 27
21 59 29
64 78 25
89 70 11
40 11 21
77 4 11
99 67 3
20 40 21
1 30 17
93 71 21
18 51 4
87 8 14
61 77 3
69 21 12
87 33 28
58 57 3
21 71 6
79 57 25
14 47 1
32 31 1
61 85 22
51 68 30
27 10 21
99 54 14
25 80 18
80 27 7
99 70 9
2 30 19
80 2 22
73 28 12
10 5 10
23 12 21
47 68 21
20 70 20
63 5 18
47 81 10
47 10 24
38 70 9
59 74 7
45 23 28
0 58 16
66 38 10
98 25 12
23 1 22
82 66 23
2 25 12
59 47 22
6 79 24
26 61 14
25 18 23
53 52 17
95 14 27
37 93 1
37 33 30
71 45 21
6 47 30
99 19 8
61 91 19
54 90 27
85 91 12
90 45 7
4 50 11
58 4 13
37 2 2
31 99 17
5 6 3
77 16 17
11 55 28
10 38 19
70 79 19
95 24 9
8 98 25
12 8 6
73 75 10
0 13 10
56 7 21
15 47 21
79 14 11
69 25 4
48 39 2
90 77 7
61 72 20
87 14 26
91 3 8
1 29 19
57 97 11
90 95 5
66 58 25
40 63 23
0 12 30
34 29 25
96 77 23
93 0 14
29 51 5
38 75 3
98 93 5
11 93 24
59 69 20
4 43 21
2 93 22
96 98 9
53 68 26
79 84 26
32 89 16
41 63 1
73 36 2
41 31 20
69 38 8
18 70 15
25 94 5
0 55 18
28 60 3
99 86 12
48 47 28
72 44 7
46 18 8
59 30 10
49 36 12
68 56 27
70 22 15
70 73 4
20 64 30
62 54 8
66 19 4
72 65 26
51 4 12
5 79 9
25 57 13
39 6 11
49 2 7
56 65 15
17 77 17
32 0 3
16 24 23
15 23 10
56 92 8
37 45 3
23 36 17
61 65 21
0 52 11
86 22 10
19 64 5
62 22 12
88 17 17
93 52 7
16 13 17
81 29 16
99 92 29
30 53 3
0 80 24
31 82 7
51 97 3
22 34 8
8 88 15
12 57 25
18 49 17
71 67 16
19 82 23
29 94 12
12 20 3
91 94 10
51 94 10
80 75 13
35 52 4
26 7 23
4 13 13
90 75 1
44 92 4
79 98 29
53 22 3
80 7 6
57 52 3
71 22 19
80 94 16
22 6 14
66 77 5
99 45 30
81 57 21
56 77 30
62 71 21
59 93 1
68 86 1
97 25 15
60 52 19
31 84 17
66 97 22
85 94 20
70 5 4
62 13 22
0 11 1
17 84 11
71 63 7
93 15 17
42 38 1
81 24 11
51 53 23
8 26 20
16 64 6
93 47 27
64 43 17
41 81 30
7 97 23
45 26 16
19 5 30
9 83 7
10 79 11
47 29 15
4 85 6
79 91 22
0 91 20
66 76 25
52 88 9
67 79 3
77 25 14
39 76 8
4 34 21
52 5 24
88 2 22
28 94 8
5 44 27
7 45 18
87 70 16
51 55 14
51 57 27
11 9 24
31 71 29
77 43 13
52 63 4
20 59 15
96 72 12
28 24 20
28 42 18
80 83 6
39 35 10
37 85 8
32 69 7
94 44 15
62 89 28
18 73 8
1 8 3
35 58 3
80 50 16
94 59 1
99 9 21
92 79 14
7 11 7
10 97 20
34 70 18
7 82 1
35 37 13
97 90 23
26 38 10
60 45 2
69 45 11
84 66 27
16 63 29
88 1 16
77 59 1
92 71 30
20 42 30
44 52 5
42 0 11
82 37 16
83 44 2
86 98 22
32 1 22
63 24 11
56 90 13
65 83 16
84 18 23
11 17 16
17 75 28
45 75 13
62 80 19
32 14 28
78 5 6
85 82 18
65 73 3
46 88 13
61 93 18
76 94 27
60 94 11
39 78 15
11 21 12
23 67 14
17 94 5
16 79 10
16 57 4
65 60 23
94 0 18
67 86 25
86 97 29
56 85 26
16 27 15
27 98 23
84 75 13
81 99 21
7 9 2
11 12 24
10 23 5
79 59 7
54 70 15
42 61 22
65 62 6
9 35 30
95 44 19
89 63 21
60 22 19
14 21 15
62 96 15
99 42 16
75 36 17
92 40 5
20 80 9
47 16 25
55 90 14
26 24 30
44 4 26
76 62 16
77 95 6
34 85 14
56 83 8
93 8 26
42 85 18
89 30 16
78 41 14
14 74 24
75 28 21
56 61 1
84 33 20
64 61 2
39 3 15
79 18 24
53 10 1
13 81 6
67 51 2
45 33 14
88 5 27
50 77 24
39 32 2
84 98 11
74 80 5
85 29 25
67 3 27
96 8 6
61 10 8
34 68 21
58 96 10
39 82 20
20 60 18
10 22 25
27 68 2
46 0 17
36 28 5
96 59 27
19 15 14
33 79 11
96 61 29
15 85 11
92 70 25
31 64 14
59 76 29
19 10 21
90 94 22
52 17 27
99 66 21
33 27 22
9 8 21
96 43 16
72 41 30
13 93 21
70 39 10
6 90 29
31 39 26
6 33 21
57 73 23
95 30 4
52 15 10
19 78 25
55 92 14
61 3 28
31 88 8
95 59 24
94 7 5
79 49 25
3 50 26
80 18 5
39 74 5
72 51 5
38 84 5
93 14 22
60 51 16
17 39 3
10 54 16
51 19 1
12 67 17
87 4 20
11 56 12
63 61 20
50 17 9
92 6 11
94 4 5
91 98 8
82 91 15
58 50 8
51 40 12
24 87 10
97 58 11
45 78 2
32 71 6
46 9 3
34 50 27
28 2 21
48 98 26
36 87 28
57 15 15
60 24 18
10 52 9
97 43 10
11 47 2
90 29 9
2 13 13
11 99 23
25 83 17
64 96 5
73 90 8
25 24 8
16 41 25
13 20 12
26 56 29
80 13 6
91 53 3
56 73 6
46 8 9
65 44 5
57 93 11
72 18 10
11 28 2
3 94 30
79 87 19
6 84 22
86 55 25
41 46 10
91 25 11
41 90 6
86 12 26
37 59 10
85 89 9
10 76 10
66 26 29
22 2 18
99 46 27
9 61 25
12 70 2
2 99 6
88 35 1
33 21 7
42 78 29
71 86 14
58 28 1
92 34 5
55 79 19
59 15 12
23 54 6
18 20 19
47 90 4
37 29 19
58 84 15
26 54 13
51 12 9
93 12 9
57 36 23
77 81 3
99 53 26
29 83 9
57 70 9
69 3 5
0 23 10
46 93 18
9 74 3
58 18 6
61 6 13
12 21 26
99 8 30
58 79 14
15 88 10
53 61 15
9 33 2
16 94 10
65 71 5
51 22 14
83 45 23
79 7 4
17 78 26
28 67 3
53 62 8
9 41 19
21 29 12
58 20 29
69 68 8
73 60 17
23 65 28
61 94 12
24 51 7
50 59 28
0 15 23
75 1 29
70 45 29
81 95 3
43 47 11
83 93 20
28 71 13
14 11 17
61 78 4
12 88 6
39 0 16
44 59 17
84 56 23
13 97 3
19 83 15
58 45 14
55 39 7
6 77 23
56 42 14
57 26 1
79 40 24
68 62 13
6 97 18
66 65 23
34 66 26
89 49 6
14 36 10
22 66 1
78 10 17
29 30 16
19 68 27
32 75 13
38 87 2
94 53 5
53 31 5
32 66 30
31 62 6
39 51 10
35 67 7
42 84 21
17 45 16
69 41 15
30 67 15
65 86 7
98 24 3
22 90 12
30 3 23
63 60 26
47 62 5
34 83 7
86 47 25
26 9 7
83 2 12
0 44 10
47 89 23
91 23 16
43 14 7
54 33 28
7 77 17
96 60 23
42 59 11
36 8 5
74 25 15
29 75 20
67 46 4
34 57 16
57 41 16
9 25 26
34 94 14
43 45 24
57 53 16
26 46 8
14 82 16
97 21 22
25 34 26
40 29 8
91 96 30
8 34 25
94 32 10
14 29 19
30 13 26
43 51 29
26 53 14
44 61 21
85 36 12
39 9 13
53 66 22
4 82 24
89 17 14
45 11 10
4 41 1
95 82 29
10 99 22
87 11 21
53 34 6
96 26 2
90 79 25
98 52 11
77 63 22
58 89 28
94 70 15
0 85 27
47 12 10
20 19 3
63 28 22
56 75 20
35 8 16
48 86 19
72 12 26
88 44 22
89 71 8
46 98 9
35 36 16
17 85 28
53 50 15
71 8 20
77 76 9
52 70 30
5 66 13
34 60 8
12 58 16
66 57 13
44 13 7
70 41 10
22 78 3
68 13 1
84 92 11
95 94 13
32 93 24
9 60 17
19 77 28
17 9 22
60 62 25
92 94 18
19 59 10
33 72 21
79 13 1
10 41 16
8 83 5
94 43 21
42 88 11
4 21 14
72 49 22
76 98 12
99 85 1
46 90 3
37 90 4
68 52 7
41 68 30
17 41 28
61 18 15
63 3 18
67 22 19
67 72 15
23 29 11
49 60 30
77 80 22
27 15 24
49 84 4
95 1 27
10 93 21
21 76 24
2 75 29
17 65 9
34 3 6
80 59 30
8 76 3
78 27 14
85 71 7
7 76 20
27 55 15
73 71 19
36 44 8
10 43 3
35 78 21
41 54 15
60 23 2
54 76 15
67 10 16
93 38 17
5 48 17
49 0 19
45 40 6
46 86 27
51 16 18
80 33 2
66 89 28
11 29 18
70 36 17
29 8 1
35 6 20
71 79 7
51 71 12
59 25 20
54 48 16
5 25 30
35 54 21
52 77 4
11 71 1
36 97 8
81 2 5
49 85 16
49 4 16
92 26 7
82 29 14
59 9 26
41 35 23
22 18 3
26 67 23
19 45 25
4 75 23
36 66 4
56 82 24
82 67 21
35 71 9
69 73 29
97 29 4
37 95 21
55 54 10
99 7 21
20 72 9
21 0 1
7 44 1
49 97 10
61 95 7
63 4 20
25 64 24
87 3 10
25 29 4
68 90 21
49 87 19
79 61 20
79 45 25
10 62 17
23 57 14
26 81 18
42 3 25
5 31 9
30 32 13
33 7 25
88 21 18
10 86 1
29 12 30
40 64 17
54 12 5
9 52 28
27 99 6
31 9 2
86 52 22
94 36 5
40 21 21
40 56 13
35 1 25
97 8 24
14 2 1
55 85 1
27 65 10
98 0 10
82 20 29
2 98 28
29 41 19
13 60 6
73 43 23
16 17 14
31 2 21
1 19 25
32 74 4
50 96 17
69 79 1
56 43 29
9 86 28
23 51 6
74 18 24
60 54 2
90 40 18
55 32 30
86 27 11
39 30 5
75 18 8
81 32 13
27 59 12
26 95 4
15 7 25
12 38 19
43 23 2
18 14 30
64 84 16
16 48 25
23 64 23
74 43 27
46 24 6
59 64 25
77 87 12
6 96 7
82 0 5
46 11 15
73 78 7
14 24 19
10 44 21
96 33 8
80 47 8
5 81 22
15 36 4
77 47 17
61 92 4
51 80 3
94 67 25
10 48 6
